# Editable products file (pipe-separated). Header fields: name|category|rating|reviews|basePrice|amazonUrl|description
# Lines starting with # are ignored.
BioTechUSA Iso Whey Zero|Proteinpulver|4.3|7.7K+|48.90|https://amzn.to/3YSR1o8|Hochqualitatives zuckerfreies*, laktosefreies** und glutenfreies Molkenprotein-Isolat mit Native Whey Isolate als Grundzutat und den zusätzlichen Aminosäuren BCAA und Glutamin (4489 mg).
BioTechUSA Iso Whey Zero Black - Premium Protein|Proteinpulver|4.3|263+|52.90|https://amzn.to/4js86is|HIGH PROTEIN FUEL: Erleben Sie ein starkes Proteinpulver mit 90% Proteingehalt für Muskelaufbau und Erholung.
BioTechUSA Hydro Whey Zero|Proteinpulver|4.5|192+|81.60|https://amzn.to/4jmH3Vp|80% PROTEINGEHALT: Unterstützt die Muskelerholung und das Muskelwachstum mit einem Proteingehalt von 80% pro Portion.
BioTechUSA Beef Protein|Proteinpulver|4.2|394+|74.99|https://amzn.to/3L7x4a3|HOHER PROTEIN-GEHALT: BioTechUSA Beef Protein liefert einen hohen Proteingehalt von 87%, der ausschließlich aus hydrolysiertem Protein mit zugesetztem L-Glutamin und L-Arginin gewonnen wird.
BioTechUSA 100% Pure Whey|Proteinpulver|4.5|4.1K+|67.90|https://amzn.to/495hNji|REICH AN PROTEIN: 100 % Pure Whey enthält Molkenkonzentrat und Molkenisolatbestandteile und wird mit zusätzlichen verzweigtkettigen Aminosäuren (BCAAs) mit einem BCAA-Gehalt von 4,3 g pro Portion kombiniert.
BioTechUSA Micellar Casein Protein Powder|Proteinpulver|4.2|262+|69.90|https://amzn.to/4jodfrx|HOHER PROTEIN-GEHALT: Jede Portion enthält 22 g Protein zur Muskelunterstützung mit einem hohen Gehalt an essentiellen BCAAs und L-Glutamin.
BioTechUSA Iso Whey Zero Clear|Proteinpulver|4.2|401+|51.90|https://amzn.to/4srBCce|ERFRISCHENDES SOFT-DRINK-LIKE-PROTEIN: Iso Whey Zero Clear bietet ein erfrischendes Getränkepulver mit einem speziellen Molkenproteinisolat, das ein durchsichtiges, softdrinkähnliches Proteinerlebnis bietet.
BioTechUSA Hyper Mass - Mass Gainer|Proteinpulver|4.4|1.2+|52.90|https://amzn.to/4qECPuZ|HIGH-QUALITY MASS GAINER: Dank seines Proteingehalts unterstützt Muscle Mass das Muskelwachstum und ist ohne einfache Kohlenhydrate wie Zucker formuliert.
BioTechUSA Black Blood NOX+|Pre-Workout-Formel|4.4|685+|32.90|https://amzn.to/4jjhEMm|EXTREM-NOX-KOMPLEX: Mach dich bereit für ein intensives Training mit 14 aktiven Inhaltsstoffen und 10.278 mg NOX Formel zur Unterstützung deiner Leistung!
BioTechUSA Supernova|Pre-Workout-Formel|4.3|36+|29.90|https://amzn.to/4qCQx1q|INTENSIVES PRE-WORKOUT: Steigern Sie Ihr Training mit der konzentrierten Formel von Supernova, die 10 aktive Inhaltsstoffe zur Unterstützung der Leistung enthält.
BioTechUSA Nitrox Therapy|Pre-Workout-Formel|4.2|269+|32.42|https://amzn.to/4pg1vsn|STEIGERUNG VON KRAFT UND KONZENTRATION: Nitrox Therapy Getränkepulver enthält 16 aktive Inhaltsstoffe, darunter Koffein, BCAAs und Vitamine, die das Energieniveau*, die Konzentration und die Trainingsleistung optimieren.
